started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2021-01-08 12:53:51.725000+00:00,2021-01-08 13:00:29.581000+00:00,397,624,Dælenenggata,ved Fagerheimgata,59.9287502718149,10.767546377298158,423,Schous plass,nærmest rundkjøringen,59.920335,10.760804
2021-01-08 12:54:46.037000+00:00,2021-01-08 13:03:27.002000+00:00,520,551,Olaf Ryes plass,langs Sofienberggata,59.922425,10.758182,555,Griffenfeldts gate,ved Colletts gate,59.9337026,10.7519299
2021-01-08 12:54:53.893000+00:00,2021-01-08 13:10:20.370000+00:00,926,545,Arkaden Sør,langs Dronningens gate,59.9119691,10.7478583,465,Bjørvika,under broen Nylandsveien,59.909006,10.75618
2021-01-08 12:54:55.286000+00:00,2021-01-08 13:04:23.121000+00:00,567,494,Rådhusbrygge 4,ved Nesoddbåten,59.9108469,10.7303766,739,Hammersborg Torg,langs Møllergata,59.91652053839767,10.749202233135232
2021-01-08 12:55:11.859000+00:00,2021-01-08 12:57:27.217000+00:00,135,580,Georg Morgenstiernes hus,ved Moltke Moes vei,59.939025551395765,10.723002619643406,409,John Colletts plass,ved Sognsveien,59.940398,10.730036
2021-01-08 12:56:04.100000+00:00,2021-01-08 13:06:40.759000+00:00,636,458,Jenny Braatens Plass,langs Rosenhoffgata,59.928349,10.77837,582,Stavangergata,ved Uelands gate,59.94114763297182,10.750775120272449
2021-01-08 12:56:39.189000+00:00,2021-01-08 13:22:20.322000+00:00,1541,412,Jakob kirke,langs Torggata,59.917866,10.754898,466,Ullevålsalléen,langs Sognsveien,59.937913,10.73048
2021-01-08 12:56:57.501000+00:00,2021-01-08 13:04:12.852000+00:00,435,571,Over Rådhusgata,langs Nedre Slottsgate,59.9101207,10.7407129,511,Henrik Ibsens gate,ved Parkveien,59.915088,10.7222803
2021-01-08 12:57:23.051000+00:00,2021-01-08 13:05:57.280000+00:00,514,496,Fysikkbygningen,ved Sem Sælands vei,59.937957367051965,10.719488529430388,607,Marcus Thranes gate,ved Akerselva,59.93277225626508,10.758594919923468
2021-01-08 12:57:23.386000+00:00,2021-01-08 13:08:10.806000+00:00,647,462,Stensparken,ved Sporveisgata,59.92714,10.730981,493,Sofienbergparken nordvest,langs Helgesens Gate,59.9243639,10.7615858
2021-01-08 12:57:30.777000+00:00,2021-01-08 13:08:37.175000+00:00,666,433,Ila,langs Uelandsgt ved Colletts,59.931828,10.748745,523,Tøyenbekken,ved Rubina Ranas gate,59.9115945,10.7617736
2021-01-08 12:58:07.099000+00:00,2021-01-08 13:02:12.115000+00:00,245,611,Bankplassen,ved Kirkegata,59.908454,10.741869,396,Kirkeristen,ved Torggata,59.91300035973293,10.746760585982287
2021-01-08 12:58:11.927000+00:00,2021-01-08 13:14:24.563000+00:00,972,607,Marcus Thranes gate,ved Akerselva,59.93277225626508,10.758594919923468,737,Munkegata trikkestopp,langs Oslo gate,59.908255,10.7678
2021-01-08 12:59:01.834000+00:00,2021-01-08 13:07:58.161000+00:00,536,409,John Colletts plass,ved Sognsveien,59.940398,10.730036,407,Sagene bussholdeplass,langs Kierschovs gate,59.937743,10.751648
2021-01-08 13:00:39.866000+00:00,2021-01-08 13:30:07.371000+00:00,1767,595,Skarpsnoparken,langs Drammensveien,59.914871,10.701037,519,Thomas Heftyes plass,ved Bygdøy allé,59.918578143336774,10.703899530059402
2021-01-08 13:01:04.410000+00:00,2021-01-08 13:18:36.700000+00:00,1052,514,Sofienberggata,ved Sars gate,59.9212063,10.7699892,396,Kirkeristen,ved Torggata,59.91300035973293,10.746760585982287
2021-01-08 13:01:17.230000+00:00,2021-01-08 13:06:34.376000+00:00,317,588,Meltzers gate,langs Skovveien,59.9180141,10.7184345,389,Pilestredet Studenthus,ved Stensberggata,59.9205528,10.7342854
2021-01-08 13:02:41.153000+00:00,2021-01-08 13:08:56.384000+00:00,375,2280,Klingenberggata,By Olav V street,59.913150534075015,10.732281291700133,396,Kirkeristen,ved Torggata,59.91300035973293,10.746760585982287
2021-01-08 13:03:32.987000+00:00,2021-01-08 13:07:05.520000+00:00,212,432,St. Hanshaugen park sør,ved dammen,59.924821,10.739909,421,Alexander Kiellands Plass,langs Maridalsveien,59.92806670615684,10.751202636819613
2021-01-08 13:06:22.068000+00:00,2021-01-08 13:13:52.548000+00:00,450,586,Københavngata busstopp,ved Fagerheim tennisklubb,59.9294565845173,10.769121495700826,406,Carl Berners plass sør,langs Finnmarkgata,59.92507,10.775996
2021-01-08 13:06:28.554000+00:00,2021-01-08 13:16:42.951000+00:00,614,607,Marcus Thranes gate,ved Akerselva,59.93277225626508,10.758594919923468,557,Akersgata,ved Grensen,59.9141971,10.7428828
2021-01-08 13:06:41.493000+00:00,2021-01-08 13:09:43.935000+00:00,182,444,AHO,langs Maridalsveien,59.925265,10.750462,410,Landstads gate,langs Uelands gate,59.929005,10.7496755
2021-01-08 13:07:16.650000+00:00,2021-01-08 13:22:46.797000+00:00,930,443,Sjøsiden ved trappen,Oslo S,59.910154466964954,10.751980909227372,581,Jordalgata,ved Galgeberg busstopp,59.908227,10.781088
2021-01-08 13:07:25.830000+00:00,2021-01-08 13:13:51.407000+00:00,385,578,Hallings gate,langs Dalsbergstien,59.922777,10.738655,579,Bogstadveien,ved Sporveisgata,59.924732,10.724628
2021-01-08 13:07:39.557000+00:00,2021-01-08 13:10:56.696000+00:00,197,478,Jernbanetorget,Europarådets plass,59.911901,10.749929,465,Bjørvika,under broen Nylandsveien,59.909006,10.75618
2021-01-08 13:07:50.938000+00:00,2021-01-08 13:17:27.659000+00:00,576,411,Hasle Torg,ved busstoppet,59.923240042155456,10.792831438028703,512,Ensjø T-bane,langs Ensjøveien,59.9131891,10.7897605
2021-01-08 13:08:03.067000+00:00,2021-01-08 13:13:06.745000+00:00,303,396,Kirkeristen,ved Torggata,59.91300035973293,10.746760585982287,625,Spikersuppa Øst,ved Stortinget,59.91336,10.737663
2021-01-08 13:09:13.345000+00:00,2021-01-08 13:25:59.141000+00:00,1005,502,Ullevål sykehus,langs Kirkeveien,59.9360307,10.7364516,557,Akersgata,ved Grensen,59.9141971,10.7428828
